koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,label,koi_tce_delivname_q1_q17_dr24_tce,koi_tce_delivname_q1_q17_dr25_tce,depth_duration_ratio,insol_prad_ratio,stellar_luminosity_proxy
1,0,0,0,634.84739,0.01429,-0.01429,0.565,0.0229,-0.4681,248.0735,0.0195,-0.0195,16.186,0.725,-0.725,542.6,44.6,-44.6,20.5,1.09,-5.73,464.0,10.97,1.94,-6.2,15.7,5048.0,74.0,-218.0,2.978,0.033,-0.026,8.611,0.46,-2.407,293.56754,41.763981,12.532,0,False,False,33.52279540820491,0.5351219251160036,374305.7724080001
0,1,0,0,631.632,0.02751,-0.02751,0.4544,0.0051,-0.4542,239.8779,0.041,-0.041,16.13,1.3,-1.3,295.1,39.7,-39.7,1.56,0.64,-0.15,201.0,0.38,0.48,-0.09,8.6,5689.0,156.0,-144.0,4.493,0.054,-0.054,0.894,0.369,-0.084,295.34366,39.609322,14.358,0,True,False,18.29510115963415,0.24358958744257217,4546.853604
1,0,0,0,628.592314,0.009239,-0.009239,0.8176,0.1074,-0.561,270.9081,0.0121,-0.0121,3.603,0.384,-0.384,393.7,53.5,-53.5,6.99,3.82,-1.6,323.0,2.57,4.14,-1.19,7.6,5058.0,111.0,-125.0,3.497,0.197,-0.325,3.117,1.708,-0.713,289.02536,40.422009,12.275,0,False,False,109.27002240632183,0.3676680446826831,49141.954961999996
1,0,0,0,623.005238,0.0001445,-0.0001445,0.895,0.033,-0.027,201.386299,0.000179,-0.000179,23.5615,0.0133,-0.0133,140330.0,69.4,-69.4,66.64,18.49,-12.32,229.0,0.64,0.54,-0.26,2386.6,5689.0,171.0,-171.0,4.299,0.17,-0.187,1.207,0.335,-0.223,297.48386,39.63649,14.023,0,False,True,5955.90238499661,0.009603841392499379,8288.013961000002
1,0,0,0,616.34132,0.01531,-0.01531,0.28,0.1792,-0.2799,154.168,0.0193,-0.0193,12.724,0.753,-0.753,1287.0,136.0,-136.0,2.11,0.17,-0.26,131.0,0.07,0.02,-0.02,12.5,4197.0,120.0,-138.0,4.659,0.07,-0.03,0.588,0.049,-0.07,291.03244,45.64106,15.894,0,False,False,101.14742996326392,0.03317533972732715,1451.0875679999997
1,0,0,0,615.81928,0.02367,-0.02367,0.1794,0.2529,-0.1791,261.7343,0.0271,-0.0271,14.93,1.1,-1.1,168.0,18.5,-18.5,1.24,0.53,-0.11,221.0,0.56,0.68,-0.15,11.0,6120.0,146.0,-176.0,4.489,0.045,-0.302,0.955,0.402,-0.086,291.21664,46.02248,13.027,0,False,False,11.252510967681784,0.45161253902214604,5581.593
1,0,0,0,615.16033,0.01768,-0.01768,0.1544,0.3692,-0.1541,226.4594,0.0181,-0.0181,3.958,0.937,-0.937,267.1,63.7,-63.7,4.48,1.42,-1.28,430.0,8.08,7.52,-4.6,5.4,7937.0,220.0,-325.0,3.882,0.219,-0.209,2.711,0.855,-0.777,292.95239,37.857128,13.503,0,False,False,67.48356051451225,1.80357102598861,58333.148176999995
1,0,0,0,614.39054,0.01691,-0.01691,0.11,0.356,-0.11,332.5045,0.0208,-0.0208,9.312,0.856,-0.856,289.1,34.3,-34.3,2.43,0.45,-0.44,269.0,1.24,0.58,-0.45,10.2,6228.0,74.0,-80.0,4.193,0.149,-0.122,1.427,0.262,-0.262,292.06931,41.042858,13.541,0,False,True,31.045958865339475,0.5102878558486189,12682.257012000002
1,0,0,0,613.82905,0.0326,-0.0326,0.2616,0.1669,-0.2616,263.471,0.0319,-0.0319,18.18,1.4,-1.4,148.2,16.5,-16.5,2.85,1.25,-1.41,307.0,2.1,2.78,-1.62,10.2,5636.0,173.0,-148.0,3.809,0.459,-0.224,2.357,1.027,-1.168,294.08139,43.824032,13.016,0,False,False,8.151814733123501,0.736841846722159,31310.510564000007
1,0,0,0,612.882452,0.006796,-0.006796,0.284,0.2242,-0.2837,274.9048,0.0118,-0.0118,2.024,0.672,-0.672,631.0,112.0,-112.0,2.42,1.01,-0.22,217.0,0.53,0.63,-0.14,7.5,6029.0,148.0,-181.0,4.494,0.043,-0.299,0.956,0.397,-0.086,287.56281,46.258438,14.453,0,False,False,311.75873924963474,0.21900817396356448,5510.1201439999995
